Year and Quarter,Topic,Topic Subgroup,Indicator,Race Ethnicity Category,Rate,Unit,Significant
2023 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.59,per 100 births,
2023 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.89,per 100 births,
2023 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.75,per 100 births,
2023 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,7.09,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.75,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.60,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.88,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.26,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.61,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.45,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.67,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,7.15,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.36,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,10.06,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.55,per 100 births,
2023 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.42,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,29.42,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,30.13,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,32.87,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,27.82,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,55.25,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,55.25,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,48.74,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,57.13,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,4.97,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.56,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.84,per 100 births,
2023 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.63,per 100 births,
2023 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,32.20,per 100 births,
2023 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.80,per 100 births,
2023 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.80,per 100 births,
2023 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,31.10,per 100 births,
2023 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.40,per 100 births,
2023 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.70,per 100 births,
2023 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,30.80,per 100 births,
2023 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.40,per 100 births,
2023 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,14.80,per 100 births,
2023 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,14.40,per 100 births,
2023 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,14.70,per 100 births,
2023 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,14.80,per 100 births,
2023 Q1,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.50,per 100 births,
2023 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.60,per 100 births,
2023 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,13.00,per 100 births,
2023 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,9.10,per 100 births,
2023 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.50,per 100 births,
2023 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.90,per 100 births,
2023 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.40,per 100 births,
2023 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,27.90,per 100 births,
2022 Q4,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.30,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,13.50,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,21.10,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,20.20,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.00,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,60.40,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,83.50,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,74.80,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,50.40,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,93.40,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,113.80,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,90.60,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,90.50,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,97.00,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,102.70,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,79.40,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,99.40,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,54.90,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,59.10,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,50.10,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,52.40,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.50,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,15.40,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,13.70,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.60,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,1.10,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.10,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.40,"per 1,000 population",
2022 Q4,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.90,"per 1,000 population",
2022 Q4,Birth Rates,General Fertility Rates,15-44 years,All races and origins,56.10,"per 1,000 population",
2022 Q4,Birth Rates,General Fertility Rates,15-44 years,Hispanic,66.10,"per 1,000 population",
2022 Q4,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,56.30,"per 1,000 population",
2022 Q4,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,53.00,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.30,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,5.50,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,9.20,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,8.90,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.10,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,25.60,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,39.80,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,37.50,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,17.70,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,13.50,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,21.10,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,20.20,"per 1,000 population",
2022 Q4,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,9.00,"per 1,000 population",
2022 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.60,per 100 births,
2022 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.87,per 100 births,
2022 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.75,per 100 births,
2022 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,7.12,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.76,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.60,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.89,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.28,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.62,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.46,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.70,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,7.16,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.38,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,10.06,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.58,per 100 births,
2022 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.44,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,29.31,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,30.11,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,32.72,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,27.69,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,55.33,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,55.24,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,48.81,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,57.26,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,4.98,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.59,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.88,per 100 births,
2022 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.61,per 100 births,
2022 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,32.20,per 100 births,
2022 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.70,per 100 births,
2022 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.80,per 100 births,
2022 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,31.10,per 100 births,
2022 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.30,per 100 births,
2022 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.60,per 100 births,
2022 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,30.80,per 100 births,
2022 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.30,per 100 births,
2022 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,14.60,per 100 births,
2022 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,14.30,per 100 births,
2022 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,14.60,per 100 births,
2022 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,14.70,per 100 births,
2022 Q4,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.50,per 100 births,
2022 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.60,per 100 births,
2022 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,13.00,per 100 births,
2022 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,9.10,per 100 births,
2022 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.30,per 100 births,
2022 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.60,per 100 births,
2022 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.10,per 100 births,
2022 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,27.70,per 100 births,
2022 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.30,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,13.50,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,20.90,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,20.40,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.00,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,60.60,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,83.30,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,75.80,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,50.60,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,93.30,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,113.00,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,91.00,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,90.50,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,97.10,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,102.40,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,79.60,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,99.70,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,54.80,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,58.50,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,49.80,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,52.70,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.40,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,15.20,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,13.60,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.60,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,1.10,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.10,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.40,"per 1,000 population",
2022 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.90,"per 1,000 population",
2022 Q3,Birth Rates,General Fertility Rates,15-44 years,All races and origins,56.20,"per 1,000 population",
2022 Q3,Birth Rates,General Fertility Rates,15-44 years,Hispanic,65.70,"per 1,000 population",
2022 Q3,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,56.60,"per 1,000 population",
2022 Q3,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,53.20,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.30,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,5.50,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,9.10,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,9.00,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.10,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,25.60,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,39.50,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,37.90,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,17.80,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,13.50,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,20.90,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,20.40,"per 1,000 population",
2022 Q3,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,9.00,"per 1,000 population",
2022 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.59,per 100 births,
2022 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.85,per 100 births,
2022 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.69,per 100 births,
2022 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,7.12,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.78,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.62,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.88,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.30,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.61,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.46,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.67,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,7.15,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.39,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,10.08,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.55,per 100 births,
2022 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.45,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,29.14,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,30.00,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,32.49,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,27.52,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,55.51,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,55.40,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,49.06,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,57.45,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,4.96,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.53,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.90,per 100 births,
2022 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.58,per 100 births,
2022 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,32.20,per 100 births,
2022 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.70,per 100 births,
2022 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.80,per 100 births,
2022 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,31.10,per 100 births,
2022 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.30,per 100 births,
2022 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.60,per 100 births,
2022 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,30.90,per 100 births,
2022 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.30,per 100 births,
2022 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,14.50,per 100 births,
2022 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,14.10,per 100 births,
2022 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,14.40,per 100 births,
2022 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,14.50,per 100 births,
2022 Q3,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.50,per 100 births,
2022 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.60,per 100 births,
2022 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,12.90,per 100 births,
2022 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,9.00,per 100 births,
2022 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.20,per 100 births,
2022 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.40,per 100 births,
2022 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.00,per 100 births,
2022 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,27.80,per 100 births,
2022 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2022 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2022 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.30,"per 1,000 population",
