"FullGeoName","Year","County","Activity","Reported.human.cases","Neuroinvasive.disease.cases","Identified.by.Blood.Donor.Screening"
"TX, Orange",2003,48361,"Human infections and non-human activity",2,2,0
"TX, Palo Pinto",2003,48363,"Non-human activity",0,0,0
"TX, Panola",2003,48365,"Human infections and non-human activity",3,2,0
"TX, Parker",2003,48367,"Non-human activity",0,0,0
"TX, Parmer",2003,48369,"Human infections",14,4,2
"TX, Polk",2003,48373,"Human infections and non-human activity",1,0,0
"TX, Potter",2003,48375,"Human infections and non-human activity",14,3,12
"TX, Presidio",2003,48377,"Non-human activity",0,0,0
"TX, Randall",2003,48381,"Human infections and non-human activity",44,19,7
"TX, Red River",2003,48387,"Non-human activity",0,0,0
"TX, Reeves",2003,48389,"Non-human activity",0,0,0
"TX, Rockwall",2003,48397,"Non-human activity",0,0,0
"TX, Rusk",2003,48401,"Human infections and non-human activity",4,1,0
"TX, Sabine",2003,48403,"Non-human activity",0,0,0
"TX, San Jacinto",2003,48407,"Non-human activity",0,0,0
"TX, San Patricio",2003,48409,"Human infections and non-human activity",3,2,0
"TX, Schleicher",2003,48413,"Non-human activity",0,0,0
"TX, Scurry",2003,48415,"Human infections",2,0,0
"TX, Shackelford",2003,48417,"Human infections",1,1,0
"TX, Shelby",2003,48419,"Non-human activity",0,0,0
"TX, Smith",2003,48423,"Human infections and non-human activity",10,6,0
"TX, Somervell",2003,48425,"Non-human activity",0,0,0
"TX, Starr",2003,48427,"Human infections",2,2,0
"TX, Stonewall",2003,48433,"Non-human activity",0,0,0
"TX, Swisher",2003,48437,"Human infections",13,3,0
"TX, Tarrant",2003,48439,"Human infections and non-human activity",31,22,4
"TX, Taylor",2003,48441,"Human infections and non-human activity",3,2,0
"TX, Terry",2003,48445,"Human infections and non-human activity",2,1,0
"TX, Titus",2003,48449,"Human infections and non-human activity",2,2,0
"TX, Tom Green",2003,48451,"Human infections and non-human activity",1,1,0
"TX, Travis",2003,48453,"Human infections and non-human activity",22,12,0
"TX, Trinity",2003,48455,"Non-human activity",0,0,0
"TX, Upshur",2003,48459,"Human infections and non-human activity",1,0,0
"TX, Upton",2003,48461,"Human infections",0,0,1
"TX, Uvalde",2003,48463,"Non-human activity",0,0,0
"TX, Val Verde",2003,48465,"Non-human activity",0,0,0
"TX, Van Zandt",2003,48467,"Non-human activity",0,0,0
"TX, Victoria",2003,48469,"Non-human activity",0,0,0
"TX, Walker",2003,48471,"Human infections and non-human activity",1,0,0
"TX, Waller",2003,48473,"Human infections and non-human activity",1,1,0
"TX, Washington",2003,48477,"Human infections and non-human activity",1,1,0
"TX, Webb",2003,48479,"Human infections and non-human activity",2,1,0
"TX, Wharton",2003,48481,"Human infections and non-human activity",1,1,0
"TX, Wheeler",2003,48483,"Non-human activity",0,0,0
"TX, Wichita",2003,48485,"Human infections and non-human activity",4,4,0
"TX, Willacy",2003,48489,"Human infections",2,1,0
"TX, Williamson",2003,48491,"Human infections and non-human activity",2,1,0
"TX, Wilson",2003,48493,"Non-human activity",0,0,0
"TX, Winkler",2003,48495,"Non-human activity",0,0,0
"TX, Wise",2003,48497,"Non-human activity",0,0,0
"TX, Wood",2003,48499,"Human infections and non-human activity",1,1,0
"TX, Yoakum",2003,48501,"Non-human activity",0,0,0
"TX, Young",2003,48503,"Human infections and non-human activity",1,1,0
"TX, Zapata",2003,48505,"Human infections",2,0,0
"UT, Carbon",2003,49007,"Non-human activity",0,0,0
"UT, Duchesne",2003,49013,"Non-human activity",0,0,0
"UT, Emery",2003,49015,"Non-human activity",0,0,0
"UT, Grand",2003,49019,"Non-human activity",0,0,0
"UT, Millard",2003,49027,"Non-human activity",0,0,0
"UT, Sanpete",2003,49039,"Non-human activity",0,0,0
"UT, Uintah",2003,49047,"Human infections and non-human activity",1,0,0
"UT, Utah",2003,49049,"Non-human activity",0,0,0
"UT, Wayne",2003,49055,"Non-human activity",0,0,0
"VT, Addison",2003,50001,"Human infections and non-human activity",2,0,0
"VT, Bennington",2003,50003,"Non-human activity",0,0,0
"VT, Caledonia",2003,50005,"Non-human activity",0,0,0
"VT, Chittenden",2003,50007,"Non-human activity",0,0,0
"VT, Franklin",2003,50011,"Non-human activity",0,0,0
"VT, Grand Isle",2003,50013,"Non-human activity",0,0,0
"VT, Orange",2003,50017,"Non-human activity",0,0,0
"VT, Orleans",2003,50019,"Non-human activity",0,0,0
"VT, Rutland",2003,50021,"Non-human activity",0,0,0
"VT, Washington",2003,50023,"Non-human activity",0,0,0
"VT, Windham",2003,50025,"Human infections and non-human activity",1,0,0
"VT, Windsor",2003,50027,"Non-human activity",0,0,0
"VA, Accomack",2003,51001,"Non-human activity",0,0,0
"VA, Albemarle",2003,51003,"Non-human activity",0,0,0
"VA, Alleghany",2003,51005,"Non-human activity",0,0,0
"VA, Amelia",2003,51007,"Non-human activity",0,0,0
"VA, Amherst",2003,51009,"Non-human activity",0,0,0
"VA, Appomattox",2003,51011,"Non-human activity",0,0,0
"VA, Arlington",2003,51013,"Human infections and non-human activity",3,1,0
"VA, Augusta",2003,51015,"Human infections and non-human activity",1,1,0
"VA, Bath",2003,51017,"Non-human activity",0,0,0
"VA, Bedford",2003,51019,"Human infections and non-human activity",1,1,0
"VA, Bland",2003,51021,"Non-human activity",0,0,0
"VA, Botetourt",2003,51023,"Human infections and non-human activity",1,1,0
"VA, Brunswick",2003,51025,"Non-human activity",0,0,0
"VA, Buckingham",2003,51029,"Non-human activity",0,0,0
"VA, Campbell",2003,51031,"Non-human activity",0,0,0
"VA, Caroline",2003,51033,"Non-human activity",0,0,0
"VA, Carroll",2003,51035,"Non-human activity",0,0,0
"VA, Charles City",2003,51036,"Non-human activity",0,0,0
"VA, Charlotte",2003,51037,"Non-human activity",0,0,0
"VA, Chesterfield",2003,51041,"Non-human activity",0,0,0
"VA, Clarke",2003,51043,"Non-human activity",0,0,0
"VA, Craig",2003,51045,"Non-human activity",0,0,0
"VA, Culpeper",2003,51047,"Human infections and non-human activity",1,1,0
"VA, Cumberland",2003,51049,"Non-human activity",0,0,0
"VA, Dickenson",2003,51051,"Non-human activity",0,0,0
"VA, Dinwiddie",2003,51053,"Non-human activity",0,0,0
"VA, Fairfax",2003,51059,"Human infections and non-human activity",3,2,0
"VA, Fauquier",2003,51061,"Non-human activity",0,0,0
"VA, Floyd",2003,51063,"Non-human activity",0,0,0
"VA, Fluvanna",2003,51065,"Non-human activity",0,0,0
"VA, Franklin",2003,51067,"Non-human activity",0,0,0
"VA, Frederick",2003,51069,"Non-human activity",0,0,0
"VA, Giles",2003,51071,"Non-human activity",0,0,0
"VA, Gloucester",2003,51073,"Human infections and non-human activity",1,1,0
"VA, Goochland",2003,51075,"Non-human activity",0,0,0
"VA, Grayson",2003,51077,"Non-human activity",0,0,0
"VA, Greene",2003,51079,"Non-human activity",0,0,0
"VA, Greensville",2003,51081,"Non-human activity",0,0,0
"VA, Halifax",2003,51083,"Non-human activity",0,0,0
"VA, Hanover",2003,51085,"Non-human activity",0,0,0
"VA, Henrico",2003,51087,"Human infections and non-human activity",1,1,0
"VA, Henry",2003,51089,"Non-human activity",0,0,0
"VA, Isle Of Wight",2003,51093,"Human infections and non-human activity",1,1,0
"VA, James City",2003,51095,"Non-human activity",0,0,0
"VA, King And Queen",2003,51097,"Non-human activity",0,0,0
"VA, King George",2003,51099,"Non-human activity",0,0,0
"VA, King William",2003,51101,"Non-human activity",0,0,0
"VA, Lancaster",2003,51103,"Non-human activity",0,0,0
"VA, Lee",2003,51105,"Non-human activity",0,0,0
"VA, Loudoun",2003,51107,"Human infections and non-human activity",2,1,0
"VA, Louisa",2003,51109,"Non-human activity",0,0,0
"VA, Lunenburg",2003,51111,"Non-human activity",0,0,0
"VA, Madison",2003,51113,"Non-human activity",0,0,0
"VA, Mathews",2003,51115,"Human infections and non-human activity",1,0,0
"VA, Mecklenburg",2003,51117,"Non-human activity",0,0,0
"VA, Middlesex",2003,51119,"Non-human activity",0,0,0
"VA, Montgomery",2003,51121,"Non-human activity",0,0,0
"VA, Nelson",2003,51125,"Non-human activity",0,0,0
"VA, New Kent",2003,51127,"Non-human activity",0,0,0
"VA, Northumberland",2003,51133,"Non-human activity",0,0,0
"VA, Nottoway",2003,51135,"Non-human activity",0,0,0
"VA, Orange",2003,51137,"Non-human activity",0,0,0
"VA, Page",2003,51139,"Non-human activity",0,0,0
"VA, Patrick",2003,51141,"Non-human activity",0,0,0
"VA, Pittsylvania",2003,51143,"Non-human activity",0,0,0
"VA, Powhatan",2003,51145,"Non-human activity",0,0,0
"VA, Prince Edward",2003,51147,"Non-human activity",0,0,0
"VA, Prince George",2003,51149,"Human infections and non-human activity",1,1,0
"VA, Prince William",2003,51153,"Human infections and non-human activity",1,1,0
"VA, Pulaski",2003,51155,"Non-human activity",0,0,0
"VA, Rappahannock",2003,51157,"Non-human activity",0,0,0
"VA, Richmond",2003,51159,"Non-human activity",0,0,0
"VA, Roanoke",2003,51161,"Human infections and non-human activity",1,1,0
"VA, Rockbridge",2003,51163,"Non-human activity",0,0,0
"VA, Rockingham",2003,51165,"Non-human activity",0,0,0
"VA, Russell",2003,51167,"Non-human activity",0,0,0
"VA, Scott",2003,51169,"Non-human activity",0,0,0
"VA, Shenandoah",2003,51171,"Non-human activity",0,0,0
"VA, Smyth",2003,51173,"Non-human activity",0,0,0
"VA, Southampton",2003,51175,"Non-human activity",0,0,0
"VA, Spotsylvania",2003,51177,"Non-human activity",0,0,0
"VA, Stafford",2003,51179,"Non-human activity",0,0,0
"VA, Surry",2003,51181,"Non-human activity",0,0,0
"VA, Sussex",2003,51183,"Non-human activity",0,0,0
"VA, Tazewell",2003,51185,"Non-human activity",0,0,0
"VA, Warren",2003,51187,"Non-human activity",0,0,0
"VA, Washington",2003,51191,"Non-human activity",0,0,0
"VA, Westmoreland",2003,51193,"Non-human activity",0,0,0
"VA, Wise",2003,51195,"Non-human activity",0,0,0
"VA, Wythe",2003,51197,"Non-human activity",0,0,0
"VA, York",2003,51199,"Non-human activity",0,0,0
"VA, Alexandria City",2003,51510,"Human infections and non-human activity",1,0,0
"VA, Bristol City",2003,51520,"Non-human activity",0,0,0
"VA, Buena Vista City",2003,51530,"Non-human activity",0,0,0
"VA, Chesapeake City",2003,51550,"Non-human activity",0,0,0
"VA, Colonial Heights Cit",2003,51570,"Non-human activity",0,0,0
"VA, Danville City",2003,51590,"Non-human activity",0,0,0
"VA, Franklin City",2003,51620,"Non-human activity",0,0,0
"VA, Fredericksburg City",2003,51630,"Non-human activity",0,0,0
"VA, Galax City",2003,51640,"Non-human activity",0,0,0
"VA, Hampton City",2003,51650,"Non-human activity",0,0,0
"VA, Harrisonburg City",2003,51660,"Non-human activity",0,0,0
"VA, Hopewell City",2003,51670,"Non-human activity",0,0,0
"VA, Lynchburg City",2003,51680,"Non-human activity",0,0,0
"VA, Martinsville City",2003,51690,"Non-human activity",0,0,0
"VA, Newport News City",2003,51700,"Human infections and non-human activity",1,0,0
"VA, Norfolk City",2003,51710,"Human infections and non-human activity",3,3,0
"VA, Petersburg City",2003,51730,"Non-human activity",0,0,0
"VA, Portsmouth City",2003,51740,"Non-human activity",0,0,0
"VA, Radford City",2003,51750,"Non-human activity",0,0,0
"VA, Richmond City",2003,51760,"Human infections and non-human activity",1,1,0
"VA, Roanoke City",2003,51770,"Human infections and non-human activity",0,0,1
"VA, Salem City",2003,51775,"Non-human activity",0,0,0
"VA, Suffolk City",2003,51800,"Non-human activity",0,0,0
"VA, Virginia Beach City",2003,51810,"Human infections and non-human activity",1,1,0
"VA, Waynesboro City",2003,51820,"Non-human activity",0,0,0
"WV, Barbour",2003,54001,"Non-human activity",0,0,0
"WV, Berkeley",2003,54003,"Human infections and non-human activity",1,1,0
"WV, Boone",2003,54005,"Non-human activity",0,0,0
"WV, Braxton",2003,54007,"Non-human activity",0,0,0
"WV, Cabell",2003,54011,"Non-human activity",0,0,0
"WV, Fayette",2003,54019,"Non-human activity",0,0,0
"WV, Gilmer",2003,54021,"Non-human activity",0,0,0
"WV, Grant",2003,54023,"Non-human activity",0,0,0
"WV, Greenbrier",2003,54025,"Non-human activity",0,0,0
"WV, Hancock",2003,54029,"Non-human activity",0,0,0
"WV, Harrison",2003,54033,"Non-human activity",0,0,0
"WV, Jackson",2003,54035,"Non-human activity",0,0,0
"WV, Jefferson",2003,54037,"Non-human activity",0,0,0
"WV, Kanawha",2003,54039,"Non-human activity",0,0,0
"WV, Lewis",2003,54041,"Human infections and non-human activity",1,0,1
"WV, Logan",2003,54045,"Non-human activity",0,0,0
"WV, Marion",2003,54049,"Non-human activity",0,0,0
"WV, Marshall",2003,54051,"Non-human activity",0,0,0
"WV, Mason",2003,54053,"Non-human activity",0,0,0
"WV, Mineral",2003,54057,"Non-human activity",0,0,0
"WV, Monongalia",2003,54061,"Non-human activity",0,0,0
"WV, Monroe",2003,54063,"Non-human activity",0,0,0
"WV, Morgan",2003,54065,"Non-human activity",0,0,0
"WV, Nicholas",2003,54067,"Non-human activity",0,0,0
"WV, Ohio",2003,54069,"Non-human activity",0,0,0
"WV, Pendleton",2003,54071,"Non-human activity",0,0,0
"WV, Preston",2003,54077,"Non-human activity",0,0,0
"WV, Putnam",2003,54079,"Non-human activity",0,0,0
"WV, Randolph",2003,54083,"Non-human activity",0,0,0
"WV, Ritchie",2003,54085,"Non-human activity",0,0,0
"WV, Roane",2003,54087,"Non-human activity",0,0,0
"WV, Wayne",2003,54099,"Non-human activity",0,0,0
"WV, Webster",2003,54101,"Non-human activity",0,0,0
"WV, Wetzel",2003,54103,"Non-human activity",0,0,0
"WV, Wood",2003,54107,"Non-human activity",0,0,0
"WV, Wyoming",2003,54109,"Non-human activity",0,0,0
"WI, Adams",2003,55001,"Non-human activity",0,0,0
"WI, Ashland",2003,55003,"Non-human activity",0,0,0
"WI, Barron",2003,55005,"Non-human activity",0,0,0
"WI, Brown",2003,55009,"Human infections",1,1,0
"WI, Buffalo",2003,55011,"Non-human activity",0,0,0
"WI, Burnett",2003,55013,"Human infections and non-human activity",1,0,0
"WI, Calumet",2003,55015,"Non-human activity",0,0,0
"WI, Chippewa",2003,55017,"Human infections and non-human activity",1,1,0
"WI, Clark",2003,55019,"Non-human activity",0,0,0
"WI, Columbia",2003,55021,"Non-human activity",0,0,0
"WI, Crawford",2003,55023,"Non-human activity",0,0,0
"WI, Dane",2003,55025,"Human infections and non-human activity",3,3,0
"WI, Dodge",2003,55027,"Non-human activity",0,0,0
"WI, Douglas",2003,55031,"Human infections",1,0,0
"WI, Dunn",2003,55033,"Non-human activity",0,0,0
"WI, Eau Claire",2003,55035,"Non-human activity",0,0,0
"WI, Fond Du Lac",2003,55039,"Human infections and non-human activity",1,0,0
"WI, Grant",2003,55043,"Non-human activity",0,0,0
"WI, Green",2003,55045,"Non-human activity",0,0,0
"WI, Green Lake",2003,55047,"Non-human activity",0,0,0
"WI, Iowa",2003,55049,"Non-human activity",0,0,0
"WI, Jackson",2003,55053,"Non-human activity",0,0,0
"WI, Kenosha",2003,55059,"Non-human activity",0,0,0
"WI, La Crosse",2003,55063,"Non-human activity",0,0,0
"WI, Manitowoc",2003,55071,"Non-human activity",0,0,0
"WI, Marathon",2003,55073,"Non-human activity",0,0,0
"WI, Milwaukee",2003,55079,"Non-human activity",0,0,0
"WI, Monroe",2003,55081,"Non-human activity",0,0,0
"WI, Oconto",2003,55083,"Non-human activity",0,0,0
"WI, Oneida",2003,55085,"Non-human activity",0,0,0
"WI, Outagamie",2003,55087,"Human infections and non-human activity",1,0,0
"WI, Ozaukee",2003,55089,"Human infections and non-human activity",1,1,0
"WI, Pierce",2003,55093,"Non-human activity",0,0,0
"WI, Polk",2003,55095,"Human infections",1,0,0
"WI, Portage",2003,55097,"Human infections and non-human activity",1,1,0
"WI, Racine",2003,55101,"Non-human activity",0,0,0
"WI, Rock",2003,55105,"Non-human activity",0,0,0
"WI, St Croix",2003,55109,"Non-human activity",0,0,0
"WI, Sauk",2003,55111,"Non-human activity",0,0,0
"WI, Sawyer",2003,55113,"Non-human activity",0,0,0
"WI, Shawano",2003,55115,"Non-human activity",0,0,0
"WI, Sheboygan",2003,55117,"Human infections and non-human activity",1,0,0
"WI, Trempealeau",2003,55121,"Non-human activity",0,0,0
"WI, Vernon",2003,55123,"Human infections and non-human activity",1,0,0
"WI, Walworth",2003,55127,"Non-human activity",0,0,0
"WI, Washburn",2003,55129,"Non-human activity",0,0,0
"WI, Washington",2003,55131,"Human infections and non-human activity",1,0,0
"WI, Waukesha",2003,55133,"Non-human activity",0,0,0
"WI, Waupaca",2003,55135,"Non-human activity",0,0,0
"WI, Winnebago",2003,55139,"Human infections and non-human activity",2,0,0
"WI, Wood",2003,55141,"Non-human activity",0,0,0
"WY, Albany",2003,56001,"Human infections and non-human activity",4,0,1
"WY, Big Horn",2003,56003,"Human infections and non-human activity",4,1,0
"WY, Campbell",2003,56005,"Human infections and non-human activity",66,21,5
"WY, Carbon",2003,56007,"Human infections and non-human activity",1,0,0
"WY, Converse",2003,56009,"Human infections and non-human activity",19,7,0
"WY, Crook",2003,56011,"Human infections and non-human activity",9,1,0
"WY, Fremont",2003,56013,"Human infections and non-human activity",24,2,0
"WY, Goshen",2003,56015,"Human infections and non-human activity",88,21,1
"WY, Hot Springs",2003,56017,"Human infections and non-human activity",4,1,1
"WY, Johnson",2003,56019,"Human infections and non-human activity",8,3,0
"WY, Laramie",2003,56021,"Human infections and non-human activity",29,7,2
"WY, Natrona",2003,56025,"Human infections and non-human activity",24,6,4
"WY, Niobrara",2003,56027,"Human infections and non-human activity",4,1,0
"WY, Park",2003,56029,"Human infections and non-human activity",5,2,1
"WY, Platte",2003,56031,"Human infections and non-human activity",62,11,1
"WY, Sheridan",2003,56033,"Human infections and non-human activity",11,3,2
"WY, Sublette",2003,56035,"Human infections and non-human activity",1,0,0
"WY, Sweetwater",2003,56037,"Non-human activity",0,0,0
"WY, Washakie",2003,56043,"Human infections and non-human activity",1,1,1
"WY, Weston",2003,56045,"Human infections and non-human activity",11,4,2
"AL, Autauga",2004,1001,"Non-human activity",0,0,0
"AL, Baldwin",2004,1003,"Human infections and non-human activity",1,0,0
"AL, Blount",2004,1009,"Non-human activity",0,0,0
"AL, Calhoun",2004,1015,"Non-human activity",0,0,0
"AL, Coffee",2004,1031,"Non-human activity",0,0,0
"AL, Covington",2004,1039,"Non-human activity",0,0,0
"AL, Elmore",2004,1051,"Non-human activity",0,0,0
"AL, Greene",2004,1063,"Non-human activity",0,0,0
"AL, Houston",2004,1069,"Non-human activity",0,0,0
"AL, Jefferson",2004,1073,"Non-human activity",0,0,0
"AL, Lee",2004,1081,"Non-human activity",0,0,0
"AL, Limestone",2004,1083,"Non-human activity",0,0,0
"AL, Madison",2004,1089,"Non-human activity",0,0,0
"AL, Marshall",2004,1095,"Non-human activity",0,0,0
"AL, Mobile",2004,1097,"Human infections and non-human activity",13,13,0
"AL, Montgomery",2004,1101,"Non-human activity",0,0,0
"AL, Sumter",2004,1119,"Non-human activity",0,0,0
"AL, Talladega",2004,1121,"Non-human activity",0,0,0
"AL, Tuscaloosa",2004,1125,"Human infections and non-human activity",2,2,0
"AL, Walker",2004,1127,"Non-human activity",0,0,0
"AZ, Apache",2004,4001,"Human infections and non-human activity",5,4,0
"AZ, Cochise",2004,4003,"Human infections and non-human activity",1,0,1
"AZ, Coconino",2004,4005,"Non-human activity",0,0,0
"AZ, Gila",2004,4007,"Human infections and non-human activity",1,0,0
"AZ, Graham",2004,4009,"Human infections and non-human activity",4,1,0
"AZ, La Paz",2004,4012,"Non-human activity",0,0,0
"AZ, Maricopa",2004,4013,"Human infections and non-human activity",357,196,33
"AZ, Mohave",2004,4015,"Human infections and non-human activity",5,3,1
"AZ, Navajo",2004,4017,"Human infections and non-human activity",1,1,0
"AZ, Pima",2004,4019,"Human infections and non-human activity",7,3,1
"AZ, Pinal",2004,4021,"Human infections and non-human activity",8,5,0
"AZ, Santa Cruz",2004,4023,"Non-human activity",0,0,0
"AZ, Yavapai",2004,4025,"Human infections and non-human activity",1,1,0
"AZ, Yuma",2004,4027,"Human infections and non-human activity",1,1,0
"AR, Arkansas",2004,5001,"Non-human activity",0,0,0
"AR, Ashley",2004,5003,"Human infections and non-human activity",1,0,0
"AR, Baxter",2004,5005,"Non-human activity",0,0,0
"AR, Benton",2004,5007,"Non-human activity",0,0,0
"AR, Boone",2004,5009,"Non-human activity",0,0,0
"AR, Bradley",2004,5011,"Non-human activity",0,0,0
"AR, Carroll",2004,5015,"Non-human activity",0,0,0
"AR, Chicot",2004,5017,"Human infections and non-human activity",1,1,0
"AR, Clark",2004,5019,"Human infections",1,0,0
"AR, Columbia",2004,5027,"Non-human activity",0,0,0
"AR, Craighead",2004,5031,"Human infections",1,1,0
"AR, Crawford",2004,5033,"Non-human activity",0,0,0
"AR, Crittenden",2004,5035,"Non-human activity",0,0,0
"AR, Desha",2004,5041,"Human infections",1,1,0
"AR, Drew",2004,5043,"Human infections and non-human activity",1,1,0
"AR, Faulkner",2004,5045,"Non-human activity",0,0,0
"AR, Franklin",2004,5047,"Non-human activity",0,0,0
"AR, Garland",2004,5051,"Human infections",1,1,0
"AR, Greene",2004,5055,"Human infections and non-human activity",1,0,0
"AR, Independence",2004,5063,"Non-human activity",0,0,0
"AR, Izard",2004,5065,"Human infections",1,1,0
"AR, Jackson",2004,5067,"Non-human activity",0,0,0
"AR, Jefferson",2004,5069,"Human infections and non-human activity",2,1,0
"AR, Johnson",2004,5071,"Non-human activity",0,0,0
"AR, Lawrence",2004,5075,"Non-human activity",0,0,0
"AR, Lee",2004,5077,"Non-human activity",0,0,0
"AR, Lincoln",2004,5079,"Human infections",1,1,0
"AR, Logan",2004,5083,"Non-human activity",0,0,0
"AR, Lonoke",2004,5085,"Human infections and non-human activity",1,0,0
"AR, Miller",2004,5091,"Non-human activity",0,0,0
"AR, Mississippi",2004,5093,"Human infections and non-human activity",1,0,0
"AR, Monroe",2004,5095,"Non-human activity",0,0,0
"AR, Nevada",2004,5099,"Human infections",1,1,0
"AR, Ouachita",2004,5103,"Human infections and non-human activity",1,0,0
"AR, Phillips",2004,5107,"Human infections",1,1,0
"AR, Pike",2004,5109,"Non-human activity",0,0,0
"AR, Poinsett",2004,5111,"Non-human activity",0,0,0
"AR, Polk",2004,5113,"Non-human activity",0,0,0
"AR, Pope",2004,5115,"Human infections",1,0,0
"AR, Pulaski",2004,5119,"Human infections and non-human activity",6,4,0
"AR, Randolph",2004,5121,"Non-human activity",0,0,0
"AR, St Francis",2004,5123,"Non-human activity",0,0,0
"AR, Saline",2004,5125,"Non-human activity",0,0,0
"AR, Scott",2004,5127,"Human infections and non-human activity",1,1,0
"AR, Sebastian",2004,5131,"Human infections and non-human activity",1,1,0
"AR, Union",2004,5139,"Human infections",2,1,0
"AR, Van Buren",2004,5141,"Non-human activity",0,0,0
"AR, Washington",2004,5143,"Non-human activity",0,0,0
"AR, White",2004,5145,"Non-human activity",0,0,0
"AR, Woodruff",2004,5147,"Non-human activity",0,0,0
"CA, Alameda",2004,6001,"Non-human activity",0,0,0
"CA, Alpine",2004,6003,"Non-human activity",0,0,0
"CA, Amador",2004,6005,"Non-human activity",0,0,0
"CA, Butte",2004,6007,"Human infections and non-human activity",7,0,0
"CA, Calaveras",2004,6009,"Non-human activity",0,0,0
"CA, Colusa",2004,6011,"Non-human activity",0,0,0
"CA, Contra Costa",2004,6013,"Non-human activity",0,0,0
"CA, Del Norte",2004,6015,"Non-human activity",0,0,0
"CA, El Dorado",2004,6017,"Non-human activity",0,0,0
"CA, Fresno",2004,6019,"Human infections and non-human activity",11,4,4
"CA, Glenn",2004,6021,"Human infections and non-human activity",3,1,0
"CA, Humboldt",2004,6023,"Non-human activity",0,0,0
"CA, Imperial",2004,6025,"Human infections and non-human activity",1,0,1
"CA, Inyo",2004,6027,"Non-human activity",0,0,0
"CA, Kern",2004,6029,"Human infections and non-human activity",59,16,1
"CA, Kings",2004,6031,"Non-human activity",0,0,0
"CA, Lake",2004,6033,"Human infections and non-human activity",1,0,0
"CA, Lassen",2004,6035,"Human infections and non-human activity",1,1,0
"CA, Los Angeles",2004,6037,"Human infections and non-human activity",306,126,27
"CA, Madera",2004,6039,"Non-human activity",0,0,0
"CA, Marin",2004,6041,"Non-human activity",0,0,0
"CA, Mariposa",2004,6043,"Non-human activity",0,0,0
"CA, Mendocino",2004,6045,"Non-human activity",0,0,0
"CA, Merced",2004,6047,"Human infections and non-human activity",1,0,0
"CA, Modoc",2004,6049,"Non-human activity",0,0,0
"CA, Mono",2004,6051,"Non-human activity",0,0,0
"CA, Monterey",2004,6053,"Non-human activity",0,0,0
"CA, Napa",2004,6055,"Non-human activity",0,0,0
"CA, Nevada",2004,6057,"Non-human activity",0,0,0
"CA, Orange",2004,6059,"Human infections and non-human activity",62,29,6
"CA, Placer",2004,6061,"Human infections and non-human activity",1,0,0
"CA, Plumas",2004,6063,"Non-human activity",0,0,0
"CA, Riverside",2004,6065,"Human infections and non-human activity",109,40,7
"CA, Sacramento",2004,6067,"Human infections and non-human activity",3,2,0
"CA, San Benito",2004,6069,"Non-human activity",0,0,0
"CA, San Bernardino",2004,6071,"Human infections and non-human activity",187,62,18
"CA, San Diego",2004,6073,"Human infections and non-human activity",2,2,0
"CA, San Francisco",2004,6075,"Non-human activity",0,0,0
"CA, San Joaquin",2004,6077,"Human infections and non-human activity",2,0,1
"CA, San Luis Obispo",2004,6079,"Human infections and non-human activity",1,1,0
"CA, San Mateo",2004,6081,"Non-human activity",0,0,0
"CA, Santa Barbara",2004,6083,"Non-human activity",0,0,0
"CA, Santa Clara",2004,6085,"Human infections and non-human activity",1,0,0
"CA, Santa Cruz",2004,6087,"Non-human activity",0,0,0
"CA, Shasta",2004,6089,"Human infections and non-human activity",5,3,1
"CA, Sierra",2004,6091,"Non-human activity",0,0,0
"CA, Siskiyou",2004,6093,"Non-human activity",0,0,0
"CA, Solano",2004,6095,"Non-human activity",0,0,0
"CA, Sonoma",2004,6097,"Non-human activity",0,0,0
"CA, Stanislaus",2004,6099,"Non-human activity",0,0,0
"CA, Sutter",2004,6101,"Non-human activity",0,0,0
"CA, Tehama",2004,6103,"Human infections and non-human activity",10,2,0
"CA, Trinity",2004,6105,"Non-human activity",0,0,0
"CA, Tulare",2004,6107,"Human infections and non-human activity",3,1,0
"CA, Tuolumne",2004,6109,"Non-human activity",0,0,0
"CA, Ventura",2004,6111,"Human infections and non-human activity",2,1,0
"CA, Yolo",2004,6113,"Human infections and non-human activity",1,0,0
"CA, Yuba",2004,6115,"Non-human activity",0,0,0
"CO, Adams",2004,8001,"Human infections",15,3,0
"CO, Alamosa",2004,8003,"Non-human activity",0,0,0
"CO, Arapahoe",2004,8005,"Non-human activity",0,0,0
"CO, Archuleta",2004,8007,"Human infections and non-human activity",2,0,0
"CO, Baca",2004,8009,"Human infections",1,0,0
"CO, Boulder",2004,8013,"Human infections and non-human activity",14,1,0
"CO, Crowley",2004,8025,"Non-human activity",0,0,0
"CO, Delta",2004,8029,"Human infections and non-human activity",27,2,2
"CO, Denver",2004,8031,"Human infections and non-human activity",3,1,0
"CO, Douglas",2004,8035,"Human infections",1,0,0
"CO, Eagle",2004,8037,"Non-human activity",0,0,0
"CO, El Paso",2004,8041,"Human infections and non-human activity",2,1,0
"CO, Fremont",2004,8043,"Human infections and non-human activity",4,0,0
"CO, Garfield",2004,8045,"Human infections and non-human activity",5,0,0
"CO, Grand",2004,8049,"Non-human activity",0,0,0
"CO, Gunnison",2004,8051,"Human infections",1,0,0
"CO, Jefferson",2004,8059,"Human infections",8,1,0
"CO, Kit Carson",2004,8063,"Human infections and non-human activity",2,0,0
"CO, La Plata",2004,8067,"Human infections and non-human activity",21,2,3
